,,,,,,,,,,,,,,,,,,,,
Course Code,Course Name ,L,T,P,"C
old",C,Name of the Instructor(s),Section,Lecture,Tutorial,Lab,Link for online classes,No of students,Preferred knowledge equivalent to,Minor in,Open to,IMS Status,Course plan,Remarks,Approval (SAPC meeting)
First Year (2020 Batch) *These courses would commence after the admission of first year UG students,,,,,,,,,,,,,,,,,,,,
FP 100,Foundation Programme*,-,-,-,-,4,TBA,,,,,,,,,,,,,
MA 101,Mathematics I*,4,2,0,-,4,"Arnab Saha (I+T)
Akshaa Vatwani (I+T)
Atul Dixit (I+ T)
Bipul Saurabh (T)
Sanjay Amrutiya (T)
Fatma Cicek (T)",,B1+C,K2+M2,,,,,,,,,,
ES 101,Engineering Graphics*,2,0,3,-,3,"Kaustubh Rane (I+T), Amit Prashant (T), Abhijit Mishra (T), Jayaprakash KR (T)",,B2+B3,,,,,,,,,,,
ES 102,Introduction to Computing*,2,0,2,-,3,TBA,,,,,,,,,,,,,
ES 112,Computing*,2,0,2,-,3,TBA,,,,,,,,,,,,,
ES 103,Introduction to Electrical Systems,3,1,0,-,4,Naran Pindoriya (I+T),,E,K1,,ES 103,,,,,,,,
BE 101,Introduction to Life Sciences: Fundamentals of Life*,3,1,0,6,4,TBA,,F,,,,,,,,,,,
HS 101,English Studies*,3,0,0,6,4,TBA,,G,,,,,,,,,,,
HS 102,Pleasures of English Studies*,3,0,0,6,4,TBA,,G,,,,,,,,,,,
HS 104(R),Foundational Sanskrit*,3,1,0,,4,TBA,,G,,,,,,,,,,,
HS 103,French studies*,3,1,0,,4,TBA,,G,,,,,,,,,,,
PE 101,Physical Education (to be offered),0,0,0,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Second Year (2019 Batch),,,,,,,,,,,,,,,,,,,,
HS 221,Introduction to Philosophy,3,0,0,6,4,Jaison Manjaly,,F,,,HS 221,,,,,,,,
MA 201,Mathematics III,3,2,0,8,4,"JagmohanTyagi (I+T)
V. D. Sharma (I+T)
Mohan Joshi (I+T)
Arpan Bhattacharya (T)
Vinod Chandra (T) Satyajit Pramanik (T)",,C ,"B1,A2",,"MA 201 Section 1, MA 201 Section 2, MA 201 Section 3",,,,,,, ,
CH 201,General Chemistry,3,0,0,6,4,"Saumyakanti (I), Sairam (I), Sudhanshu (I)",,E,,,"CH201 Section 1, CH 201 Section 2, CH 201 Section 3",,,,,,,,
ES 201,Introduction to Design and Innovation,2,0,4,8,4,"Manasi Kanetkar (I+L), Siddharth Srivastava (L), Khushboo Shah (L)",I,"H1, I3",,K2+M2+N2+P2,ES 201,,,,,,,,
,,,,,,,,II,"H2 , H3",,K3+M3+N3+R2,,,,,,,,,
ES 211,"Thermodynamics (CL, ME & MSE)",3,2,0,8,4,"Atul Bhargav (I), Uddipta Ghosh (T), Raghavan Ranganathan (T), Chinmay Ghoroi(T)",I,"H2 , H3","G2, L2",,"ES 211, Chinmay",,,,,,,,
,,,,,,,,II,"H1, I3",,,,,,,,,,,
ES 203,"Digital Systems 
for EE & CSE students",2,1,3,6,4,Joycee Mekie (I+T+L),,"D1, D3",D2,K1+M1+N1,ES 203,,ES 104,,,,,,
EE 221,Electronic Devices (EE Students),2,1,0,6,3,Arup Chakraborty (I+T),,"G1, G3",L1,,EE 221,,,,,,,,
CE 201,"Earth Materials and Processes
for CE students",2,0,3,,4,Vikrant Jain (I+L),,"D1, D3",,L1+J1,CE 201; Lab,lab,,,,,,,
CL 201,"Chemical Process Calculations
for CL students",1,2,0,,2,Kaustubh Rane (I+T),,D2,D1+G1,,CL 201,,,,,,,,
ES 242,Data Structures and Algorithms - I (CS Students),2,0,2,,3,Neeldhara Misra (I+L),,J,,,ES 242,,ES102 or ES 112,CSE,,,,,
ES 202,"Introduction to Materials
for MSE students",3,1,0,,4,Abhijit Misra (I+T),,D,L1,,ES 202,,,,,,,,
