 ,,,,,,,,,,,,,,
,,Credit,,,,,,,,,,,,
Course Code,Course Name ,L,T,P,C,Name of the Instructor,Remarks,Lecture,Tutorial,Lab,Link for Online Classes,No. of Students,Preferred knowledge equivalent to,Minor in
First Year (2020 Batch) - Term II ,,,,,,,,,,,,,,
BE 101,Introduction to Life Sciences: Fundamentals of Life,3,1,0,4,"Sharmistha Majumadar (I+T),  
Dhiraj Bhatia (I+T), 
Sudipta Basu (T)
Sharad  Gupta (T), 
Ashutosh Srivastava (T), 
Chaithra Mayya (T)",,A,J2,,"      
Tutorials (Fridays): 
Sharmistha: https://meet.google.com/qmu-vjmt-zou 
Dhiraj:  https://meet.google.com/aii-imup-dvu
Sharad: https://meet.google.com/rys-kwpc-mam
Sudipta Basu: https://meet.google.com/soh-xfkk-qyf
Ashutosh: https://meet.google.com/lookup/bd6mecq6qk?authuser=1&hs=179
Chaithra: https://meet.google.com/khe-zdrd-oft?hs=224",,,
ES 101,Engineering Graphics,2,0,3,3,"Kaustubh Rane (I+L), 
Amit Prashant (L), 
Abhijit Mishra (L), 
Jayaprakash K. R (L), 
Jaichander S. (L), 
Sameer Patel (L)",,"G1, G3",,L1+J1,"1st week: Join Zoom Meeting
https://iitgn-ac-in.zoom.us/j/95434492777?pwd=My9Va3VlV0RrODErd3AxQm1XNnZiQT09

Meeting ID: 954 3449 2777
Passcode: 260219",,,
ES 103,Introduction to Electrical Systems,3,1,0,4,"Naran Pindoriya (I+T)
S. Rajendran (I+T)
Nitin Khanna (I+T)
Parth Upadyay (T)
Sachinkumar Suthar (T)
Poornachandratejasvi Laxman Bhattar (T)",,F,K3,,ES103_Introduction to Electrical Systems-Link for Online Classes,,,
FP 101,Introduction to Engineering,0,0,2,1,Pranab Mohapatra,,,M3+N3,,,,,
HS 192,Introduction to Writing II,1,3,0,2,"Jooyoung Kim (I), 
Ambika Aiyadurai (T), 
Karla P. Mercado-Shekhar (T),  
Malavika Subramanyam (T), 
Dyotana Banerjee(T), 
Monal Desai (T), 
Shantanu Sharma (T), 
Bhavna Harchandani (T),
Vysakh R (T)",,B1,"P2, R2",,First week (Jan 6th & 7th at 5pm) : https://iitgn-ac-in.zoom.us/j/94048204931?pwd=NTZzNlQ3bnpQMkRrcDBkdUs4VGUwZz09,,,
MA 101,Mathematics I,3,2,0,4,"Akshaa Vatwani (I+T), 
Arnab Saha (I+T), 
Atul Dixit(I+T), 
Fatma Cicek (T),
Sampa Dey (T), 
Indranath Sengupta (T), 
Anirban Dasgupta (T), 
Uddipta Ghosh (T)",,E,M1+N1,,"Lecture Links: 
Prof. Akshaa Vatwani:                                                                                      
https://iitgn-ac-in.zoom.us/j/92797089845                                                   
Prof. Arnab Saha: 
https://iitgn-ac-in.zoom.us/j/97542025845                                                              
Prof. Atul Dixit: 
https://iitgn-ac-in.zoom.us/j/92515234053          

Tutorial Links:  
Prof. Uddipta Ghosh: 
https://iitgn-ac-in.zoom.us/j/6666205461                           
Prof. Akshaa Vatwani: 
https://iitgn-ac-in.zoom.us/j/99427012040                                              
Prof. Indranath Sengupta:                                            
https://iitgn-ac-in.zoom.us/j/93522479827?pwd=NDc0dm9tcGY2dGZyM1o2aXhsUlB4UT09
Meeting ID: 935 2247 9827
Passcode: 880552                  
Prof. Anirban Dasgupta:  https://iitgn-ac-in.zoom.us/j/93742872256               
Prof. Sampa Dey: https://meet.google.com/omi-icrw-veh
Prof. Atul Dixit: 
https://iitgn-ac-in.zoom.us/j/93856124140              
Prof Arnab Saha: 
https://iitgn-ac-in.zoom.us/j/97303556205
 Prof. Fatma Cicek:   
https://iitgn-ac-in.zoom.us/j/97360753920                                                                                                                       ",,,
PH 101,Physics,3,2,0,4,"Rupak Banerjee (I+T), 
Gopinadhan Kalon (I), 
Arpan Bhattacharyya (I+T), 
Vinod Chandra (T), 
Sudipta Sarkar (T), 
Baradhwaj Coleppa (T), 
R. R. Puri (T)",,C,M2+N2,,"Prof. Rupak Banerjee,                                                                                                 Zoom Link: Link-1, Meeting ID: 955 5405 1458, Passcode: 944800                                                                                                                Prof. Arpan Bhattacharyya,                                                                                            Zoom Link: Link-2,  Meeting ID: 998 6600 7241, Passcode: 059555
Prof. Gopinadhan Kalon,                                                                                             Zoom Link: Link-3,   Meeting ID: 920 4140 9549, Passcode: 239141
                        https://iitgn-ac-in.zoom.us/j/94376041387",,,
